INFO  | 2018-07-11 15:38:47 | [main] API.APICommon (APICommon.java:55) - Service Response
INFO  | 2018-07-11 15:38:47 | [main] API.UserAPI (UserAPI.java:81) - Records deleted successfully using the API
INFO  | 2018-07-11 15:38:54 | [main] common.WebDriverInstance (WebDriverInstance.java:62) - chromeBrowser  has been successfully launched
INFO  | 2018-07-11 15:38:57 | [main] pages.UINewUser (UINewUser.java:64) - User Name entered in User Name field Successfully : qLCd8Jok
INFO  | 2018-07-11 15:38:59 | [main] pages.UINewUser (UINewUser.java:78) - User Email ID entered in email id field successfully : i9IXaCIsvwXi5CLa3bXta3tmL6SPJ9WImc9D2ryfH2BIFmDAR5iNqtc468wCIltIH2NsykR7s0VNYdDIahAqAuFeM1Y73BoTJHcMM5nR1vW9oXCWiGheTWMLbiXE6Sft97VY7t0768SF6QvX0dHWlYO7LGzRLMZpuvFpHKo7ABonaaVLPhjcwUzgrCJHZU9tQauBxwJK94KTrdFdialnyPWjGWvZULbHArWT7vZS02ZWy7tiCs7MV5643V2TKJnD@abc.com
INFO  | 2018-07-11 15:38:59 | [main] pages.UINewUser (UINewUser.java:92) - User Password entered in password field successfully : CgGYZM69
INFO  | 2018-07-11 15:38:59 | [main] pages.UINewUser (UINewUser.java:106) - User Confirm password entered in confirm password field successfully : CgGYZM69
INFO  | 2018-07-11 15:39:00 | [main] pages.UINewUser (UINewUser.java:119) - Submit Button successfully clicked 
INFO  | 2018-07-11 15:39:00 | [main] pages.UINewUser (UINewUser.java:304) - Successfully Submitted New user Details 
INFO  | 2018-07-11 15:39:00 | [main] com.TestUserScenarios (TestUserScenarios.java:261) - TestCase -10 - Long Email
INFO  | 2018-07-11 15:39:01 | [main] pages.UINewUser (UINewUser.java:64) - User Name entered in User Name field Successfully : 
INFO  | 2018-07-11 15:39:01 | [main] pages.UINewUser (UINewUser.java:78) - User Email ID entered in email id field successfully : P55VdauK@YHEJZDGI.com
INFO  | 2018-07-11 15:39:01 | [main] pages.UINewUser (UINewUser.java:92) - User Password entered in password field successfully : ViOT6pCo
INFO  | 2018-07-11 15:39:01 | [main] pages.UINewUser (UINewUser.java:106) - User Confirm password entered in confirm password field successfully : ViOT6pCo
INFO  | 2018-07-11 15:39:02 | [main] pages.UINewUser (UINewUser.java:119) - Submit Button successfully clicked 
INFO  | 2018-07-11 15:39:02 | [main] pages.UINewUser (UINewUser.java:304) - Successfully Submitted New user Details 
INFO  | 2018-07-11 15:39:02 | [main] com.TestUserScenarios (TestUserScenarios.java:52) - TestCase -01 - Blank UserName
INFO  | 2018-07-11 15:39:03 | [main] com.TestUserScenarios (TestUserScenarios.java:209) - Test Case -08 - Duplicate UserName Test -
INFO  | 2018-07-11 15:39:03 | [main] pages.UINewUser (UINewUser.java:64) - User Name entered in User Name field Successfully : BNhxGfg0
INFO  | 2018-07-11 15:39:03 | [main] pages.UINewUser (UINewUser.java:78) - User Email ID entered in email id field successfully : PaEb70Fe@PIWUMNXL.com
INFO  | 2018-07-11 15:39:03 | [main] pages.UINewUser (UINewUser.java:92) - User Password entered in password field successfully : kNYJryCz
INFO  | 2018-07-11 15:39:03 | [main] pages.UINewUser (UINewUser.java:106) - User Confirm password entered in confirm password field successfully : kNYJryCz
INFO  | 2018-07-11 15:39:04 | [main] pages.UINewUser (UINewUser.java:119) - Submit Button successfully clicked 
INFO  | 2018-07-11 15:39:04 | [main] pages.UINewUser (UINewUser.java:304) - Successfully Submitted New user Details 
INFO  | 2018-07-11 15:39:04 | [main] pages.UIUserDetails (UIUserDetails.java:116) - Clicking New User Button
INFO  | 2018-07-11 15:39:04 | [main] pages.UINewUser (UINewUser.java:64) - User Name entered in User Name field Successfully : BNhxGfg0
INFO  | 2018-07-11 15:39:05 | [main] pages.UINewUser (UINewUser.java:78) - User Email ID entered in email id field successfully : PaEb70Fe@PIWUMNXL.com
INFO  | 2018-07-11 15:39:05 | [main] pages.UINewUser (UINewUser.java:92) - User Password entered in password field successfully : kNYJryCz
INFO  | 2018-07-11 15:39:05 | [main] pages.UINewUser (UINewUser.java:106) - User Confirm password entered in confirm password field successfully : kNYJryCz
INFO  | 2018-07-11 15:39:06 | [main] pages.UINewUser (UINewUser.java:119) - Submit Button successfully clicked 
INFO  | 2018-07-11 15:39:06 | [main] pages.UINewUser (UINewUser.java:304) - Successfully Submitted New user Details 
INFO  | 2018-07-11 15:39:06 | [main] com.TestUserScenarios (TestUserScenarios.java:127) - Test Case-05 - Valid User Details Test 
INFO  | 2018-07-11 15:39:07 | [main] pages.UINewUser (UINewUser.java:64) - User Name entered in User Name field Successfully : 4PQ8aGdt
INFO  | 2018-07-11 15:39:07 | [main] pages.UINewUser (UINewUser.java:78) - User Email ID entered in email id field successfully : bDjxd7vY@NPNIUNJL.com
INFO  | 2018-07-11 15:39:07 | [main] pages.UINewUser (UINewUser.java:92) - User Password entered in password field successfully : bsevLn2H
INFO  | 2018-07-11 15:39:07 | [main] pages.UINewUser (UINewUser.java:106) - User Confirm password entered in confirm password field successfully : bsevLn2H
INFO  | 2018-07-11 15:39:08 | [main] pages.UINewUser (UINewUser.java:119) - Submit Button successfully clicked 
INFO  | 2018-07-11 15:39:08 | [main] pages.UINewUser (UINewUser.java:304) - Successfully Submitted New user Details 
INFO  | 2018-07-11 15:39:08 | [main] pages.UIUserDetails (UIUserDetails.java:99) - Verifying new user button displayed on All Users Page : true
INFO  | 2018-07-11 15:39:08 | [main] pages.UIUserDetails (UIUserDetails.java:47) - Fetching new user name from all users table : 4PQ8aGdt
INFO  | 2018-07-11 15:39:08 | [main] com.TestUserScenarios (TestUserScenarios.java:135) - New User Name Matched
INFO  | 2018-07-11 15:39:08 | [main] pages.UIUserDetails (UIUserDetails.java:47) - Fetching new user name from all users table : 4PQ8aGdt
INFO  | 2018-07-11 15:39:08 | [main] pages.UIUserDetails (UIUserDetails.java:64) - Fetching new user email id from all users table : bDjxd7vY@NPNIUNJL.com
INFO  | 2018-07-11 15:39:08 | [main] com.TestUserScenarios (TestUserScenarios.java:140) - New User Email ID Matched
INFO  | 2018-07-11 15:39:08 | [main] pages.UIUserDetails (UIUserDetails.java:64) - Fetching new user email id from all users table : bDjxd7vY@NPNIUNJL.com
INFO  | 2018-07-11 15:39:08 | [main] pages.UIUserDetails (UIUserDetails.java:81) - Fetching new user password from all users table : bsevLn2H
INFO  | 2018-07-11 15:39:08 | [main] com.TestUserScenarios (TestUserScenarios.java:144) - New User password matched
INFO  | 2018-07-11 15:39:08 | [main] pages.UIUserDetails (UIUserDetails.java:81) - Fetching new user password from all users table : bsevLn2H
INFO  | 2018-07-11 15:39:08 | [main] API.APICommon (APICommon.java:55) - Service Response[{"name":"BNhxGfg0","email":"PaEb70Fe@PIWUMNXL.com","password":"kNYJryCz","id":4447},{"name":"4PQ8aGdt","email":"bDjxd7vY@NPNIUNJL.com","password":"bsevLn2H","id":4448}]
INFO  | 2018-07-11 15:39:09 | [main] API.UserAPI (UserAPI.java:57) - Records found using the API
INFO  | 2018-07-11 15:39:10 | [main] pages.UINewUser (UINewUser.java:64) - User Name entered in User Name field Successfully : 4vvqIolp
